symbol,window_set,valid_days,missing_window_days,exceedance_days,exceedance_rate,score_sum_above_threshold,mean_score
DEMO_A,control,24,0,1,0.041666666666666664,9.407857965718337,0.6648318844126029
DEMO_A,primary,24,0,8,0.3333333333333333,264.672993685494,11.453872162382531
DEMO_A,segment:09:30–10:00,24,0,1,0.041666666666666664,8.197951810118228,1.2102806736008869
DEMO_A,segment:10:00–10:30,24,0,8,0.3333333333333333,221.4301451274792,9.75546086757692
DEMO_A,segment:10:30–11:00,24,0,8,0.3333333333333333,264.672993685494,11.418401087056617
DEMO_A,segment:11:00–11:30,24,0,0,0.0,0.0,0.27776903410248627
DEMO_A,segment:13:00–13:30,24,0,1,0.041666666666666664,8.014151021818618,0.4510597605097451
DEMO_A,segment:13:30–14:00,24,0,0,0.0,0.0,0.12267952344000116
DEMO_A,segment:14:00–14:30,24,0,0,0.0,0.0,0.11461819224302276
DEMO_A,segment:14:30–15:00,24,0,0,0.0,0.0,0.09540706351195849
DEMO_B,control,24,0,8,0.3333333333333333,249.44922064981773,10.522521913600835
DEMO_B,primary,24,0,0,0.0,0.0,0.3375743220361269
DEMO_B,segment:09:30–10:00,24,0,0,0.0,0.0,0.1074112435613
DEMO_B,segment:10:00–10:30,24,0,0,0.0,0.0,0.09683009507375262
DEMO_B,segment:10:30–11:00,24,0,1,0.041666666666666664,13.154565085199238,0.7393647795301629
DEMO_B,segment:11:00–11:30,24,0,8,0.3333333333333333,249.44922064981773,10.512492463366044
DEMO_B,segment:13:00–13:30,24,0,0,0.0,0.0,0.17432046987713024
DEMO_B,segment:13:30–14:00,24,0,0,0.0,0.0,0.3259865466952317
DEMO_B,segment:14:00–14:30,24,0,0,0.0,0.0,0.13804870387836535
DEMO_B,segment:14:30–15:00,24,0,0,0.0,0.0,0.13512790308457268
