symbol,date,window_set,base_metric,gamma,theta,score,exceedance,amplitude,window_bars,day_bars,prior_days,future_days_used,mode
DEMO_A,2024-01-02,primary,0.8958575123917005,30.0,10.208918384882207,36.02146160024149,True,0.10120930000000002,52,240,0,5,retrospective
DEMO_A,2024-01-02,control,0.10832118914867842,4.849799999999978,10.208918384882207,0.10832118914867842,False,0.10120930000000002,51,240,0,5,retrospective
DEMO_A,2024-01-02,segment:09:30–10:00,0.06750873416677407,6.763999999999845,10.208918384882207,0.06750873416677407,False,0.10120930000000002,30,240,0,5,retrospective
DEMO_A,2024-01-02,segment:10:00–10:30,0.7604322105666693,30.0,10.208918384882207,30.57615669191077,True,0.10120930000000002,30,240,0,5,retrospective
DEMO_A,2024-01-02,segment:10:30–11:00,0.8958575123917005,30.0,10.208918384882207,36.02146160024149,True,0.10120930000000002,30,240,0,5,retrospective
DEMO_A,2024-01-02,segment:11:00–11:30,0.10695669003644238,1.484933333333298,10.208918384882207,0.10695669003644238,False,0.10120930000000002,30,240,0,5,retrospective
DEMO_A,2024-01-02,segment:13:00–13:30,0.010433939656783556,5.181266666666672,10.208918384882207,0.010433939656783556,False,0.10120930000000002,30,240,0,5,retrospective
DEMO_A,2024-01-02,segment:13:30–14:00,-0.0356774354836429,2.304800000000047,10.208918384882207,-0.0356774354836429,False,0.10120930000000002,30,240,0,5,retrospective
DEMO_A,2024-01-02,segment:14:00–14:30,0.013367464540366603,5.645399999999985,10.208918384882207,0.013367464540366603,False,0.10120930000000002,30,240,0,5,retrospective
DEMO_A,2024-01-02,segment:14:30–15:00,0.004910731809283611,4.681333333333389,10.208918384882207,0.004910731809283611,False,0.10120930000000002,30,240,0,5,retrospective
DEMO_A,2024-01-03,primary,0.2,5.271967438942948,3.3115909130302144,0.2,False,0.025914418635888607,52,240,1,5,retrospective
DEMO_A,2024-01-03,control,0.2,6.249702571343437,3.3115909130302144,0.2,False,0.025914418635888607,51,240,1,5,retrospective
DEMO_A,2024-01-03,segment:09:30–10:00,0.2,8.845317129238055,3.3115909130302144,0.2,False,0.025914418635888607,30,240,1,5,retrospective
DEMO_A,2024-01-03,segment:10:00–10:30,0.2,9.054680410197147,3.3115909130302144,0.2,False,0.025914418635888607,30,240,1,5,retrospective
