datetime,open,high,low,close,volume
2024-01-02 09:31:00,14.000000,14.014864,13.993426,14.004103,1375
2024-01-02 09:32:00,14.004103,14.032147,13.986591,14.015496,410
2024-01-02 09:33:00,14.015496,14.023762,13.994951,14.005660,512
2024-01-02 09:34:00,14.005660,14.008260,13.983042,13.990394,3616
2024-01-02 09:35:00,13.990394,13.996119,13.945779,13.956931,8332
2024-01-02 09:36:00,13.956931,13.976273,13.949380,13.973254,489
2024-01-02 09:37:00,13.973254,13.981329,13.956841,13.973534,8413
2024-01-02 09:38:00,13.973534,13.988570,13.970891,13.976990,4806
2024-01-02 09:39:00,13.976990,13.985190,13.950712,13.963826,6706
2024-01-02 09:40:00,13.963826,13.995921,13.961443,13.984431,3829
2024-01-02 09:41:00,13.984431,14.011408,13.974917,14.000277,3379
2024-01-02 09:42:00,14.000277,14.006979,13.986888,13.998230,9527
2024-01-02 09:43:00,13.998230,14.015573,13.984839,13.988892,7927
2024-01-02 09:44:00,13.988892,13.998255,13.966598,13.982899,7055
2024-01-02 09:45:00,13.982899,13.988566,13.959475,13.969482,8305
2024-01-02 09:46:00,13.969482,13.981953,13.953451,13.969929,8524
2024-01-02 09:47:00,13.969929,13.982520,13.952532,13.959577,262
2024-01-02 09:48:00,13.959577,13.982223,13.948976,13.969414,9851
2024-01-02 09:49:00,13.969414,13.984391,13.958808,13.963375,6859
2024-01-02 09:50:00,13.963375,13.972906,13.943450,13.957429,8161
2024-01-02 09:51:00,13.957429,13.988472,13.952649,13.983255,6364
2024-01-02 09:52:00,13.983255,14.002035,13.958825,13.971062,9886
2024-01-02 09:53:00,13.971062,13.984730,13.930960,13.944721,8537
2024-01-02 09:54:00,13.944721,13.955237,13.935153,13.950874,664
2024-01-02 09:55:00,13.950874,13.956540,13.899074,13.915966,651
2024-01-02 09:56:00,13.915966,13.929722,13.896130,13.920407,7941
2024-01-02 09:57:00,13.920407,13.949782,13.904656,13.936900,8516
2024-01-02 09:58:00,13.936900,13.957855,13.932022,13.938078,2061
2024-01-02 09:59:00,13.938078,13.944544,13.933417,13.938234,2286
2024-01-02 10:00:00,13.938234,13.953003,13.897457,13.903784,5746
2024-01-02 10:01:00,13.903784,13.931848,13.895259,13.913113,6167
2024-01-02 10:02:00,13.913113,13.928702,13.898940,13.919770,5999
2024-01-02 10:03:00,13.919770,13.934490,13.881523,13.900081,6235
2024-01-02 10:04:00,13.900081,13.937080,13.886759,13.932222,8795
2024-01-02 10:05:00,13.932222,13.941765,13.891738,13.911659,8524
2024-01-02 10:06:00,13.911659,13.918978,13.867546,13.883447,3269
2024-01-02 10:07:00,13.883447,13.892235,13.843385,13.853021,2940
2024-01-02 10:08:00,13.853021,13.860621,13.850617,13.853457,5066
2024-01-02 10:09:00,13.853457,13.875173,13.835265,13.859133,4996
2024-01-02 10:10:00,13.859133,13.878688,13.844039,13.866542,7459
2024-01-02 10:11:00,13.866542,13.882893,13.855501,13.860874,3237
2024-01-02 10:12:00,13.860874,13.869513,13.841900,13.847221,6717
2024-01-02 10:13:00,13.847221,13.869339,13.837931,13.861380,730
2024-01-02 10:14:00,13.861380,13.869228,13.838854,13.846300,3712
2024-01-02 10:15:00,13.846300,13.852696,13.815647,13.825975,9775
