datetime,open,high,low,close,volume
2024-01-02 09:31:00,10.000000,10.012392,9.987696,10.003657,9847
2024-01-02 09:32:00,10.003657,10.013322,9.978993,9.991177,4605
2024-01-02 09:33:00,9.991177,10.013917,9.976541,10.000182,2712
2024-01-02 09:34:00,10.000182,10.029084,9.986519,10.011469,5209
2024-01-02 09:35:00,10.011469,10.021639,9.974313,9.988057,7922
2024-01-02 09:36:00,9.988057,9.994518,9.964739,9.972430,3194
2024-01-02 09:37:00,9.972430,9.980224,9.956257,9.973965,570
2024-01-02 09:38:00,9.973965,9.989393,9.958285,9.970170,604
2024-01-02 09:39:00,9.970170,9.986868,9.960202,9.969968,8534
2024-01-02 09:40:00,9.969968,9.973863,9.946463,9.959732,1204
2024-01-02 09:41:00,9.959732,9.973482,9.951240,9.970284,6392
2024-01-02 09:42:00,9.970284,9.992318,9.959055,9.979618,3906
2024-01-02 09:43:00,9.979618,9.985042,9.964357,9.980411,7797
2024-01-02 09:44:00,9.980411,10.010782,9.962455,9.993938,699
2024-01-02 09:45:00,9.993938,10.007135,9.975359,9.999548,8988
2024-01-02 09:46:00,9.999548,10.004138,9.978173,9.989238,7012
2024-01-02 09:47:00,9.989238,10.012242,9.977873,9.993664,4547
2024-01-02 09:48:00,9.993664,9.998644,9.965763,9.982160,2149
2024-01-02 09:49:00,9.982160,9.999831,9.974500,9.992706,9773
2024-01-02 09:50:00,9.992706,9.997471,9.975040,9.992113,3090
2024-01-02 09:51:00,9.992113,9.996192,9.979009,9.989904,4956
2024-01-02 09:52:00,9.989904,9.992285,9.977662,9.981748,4001
2024-01-02 09:53:00,9.981748,9.999438,9.978451,9.996441,2382
2024-01-02 09:54:00,9.996441,10.001585,9.977466,9.994622,4224
2024-01-02 09:55:00,9.994622,9.997583,9.986534,9.989534,1599
2024-01-02 09:56:00,9.989534,10.002174,9.978334,9.985385,116
2024-01-02 09:57:00,9.985385,10.006139,9.977371,9.991886,2970
2024-01-02 09:58:00,9.991886,10.005521,9.986772,9.996436,1209
2024-01-02 09:59:00,9.996436,10.009348,9.988786,10.001624,4206
2024-01-02 10:00:00,10.001624,10.018210,9.986256,10.007128,8641
2024-01-02 10:01:00,10.007128,10.051047,10.004864,10.033297,1709
2024-01-02 10:02:00,10.033297,10.050618,10.012183,10.029072,112
2024-01-02 10:03:00,10.029072,10.031854,10.006402,10.023820,1199
2024-01-02 10:04:00,10.023820,10.029087,10.006569,10.015270,5130
2024-01-02 10:05:00,10.015270,10.030556,10.010505,10.024294,2820
2024-01-02 10:06:00,10.024294,10.046499,10.011479,10.040010,4946
2024-01-02 10:07:00,10.040010,10.053773,10.035856,10.041491,389
2024-01-02 10:08:00,10.041491,10.050983,10.026538,10.035106,3397
2024-01-02 10:09:00,10.035106,10.037993,10.010707,10.029959,4160
2024-01-02 10:10:00,10.029959,10.052515,10.010041,10.043790,4370
